"","Batter_Name","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH","PA","AVG","OBP","SLG","OPS"
"132","JIBRAN CASTRO",15,2,3,0,0,0,3,0,3,0,0,0,0,15,0.2,0.2,0.2,0.4
"133","JOE MUNOZ",2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
"134","JON DEL CAMPO",43,10,15,2,1,1,8,4,9,0,1,0,2,49,0.349,0.404,0.605,1.009
"135","JONATHAN ACEVES",42,5,11,5,0,1,4,6,12,1,0,0,0,48,0.262,0.367,0.595,0.962
"136","JONATHAN ARMENTA",14,0,3,0,0,0,4,0,7,0,0,1,0,15,0.214,0.2,0.214,0.414
"137","JONATHAN JONES",54,8,17,4,1,2,7,9,14,0,4,0,1,64,0.315,0.413,0.667,1.08
"138","JORGE CANTU",47,7,12,3,0,1,11,5,6,0,0,3,0,55,0.255,0.309,0.468,0.777
"139","JORGE FLORES",55,15,18,1,1,1,5,6,8,1,4,0,0,61,0.327,0.403,0.491,0.894
"140","JORGE GONZALEZ",4,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0
"141","JOSE AGUILAR",31,4,7,1,0,1,7,3,6,1,1,1,3,38,0.226,0.306,0.419,0.725
"142","JOSE AMADOR",57,5,20,2,0,3,11,6,10,2,0,0,0,63,0.351,0.431,0.632,1.063
"143","JOSE AUGUSTO FIGUEROA",35,7,13,3,0,0,4,9,5,0,0,1,2,47,0.371,0.489,0.543,1.032
"144","JOSE CARLOS URENA",18,3,5,1,0,0,4,6,2,1,1,0,0,24,0.278,0.48,0.389,0.869
"145","JOSE CRUZ",1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"146","JOSE HEBERTO FELIX",13,2,4,1,0,0,4,3,0,0,0,0,1,17,0.308,0.438,0.462,0.9
"147","JOSE LUGO",3,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0
"148","JOSE LUNA",15,4,4,0,0,2,8,0,7,0,0,0,0,15,0.267,0.267,0.8,1.067
"149","JOSE MANUEL OROZCO",56,6,12,1,0,2,6,6,17,1,0,0,0,62,0.214,0.302,0.393,0.695
"150","JOSE MARTINEZ",45,2,14,1,0,0,4,1,11,2,0,0,1,47,0.311,0.354,0.356,0.71
"151","JOSE MORENO",3,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0
"152","JOSE RUIZ",59,3,13,4,0,0,6,5,14,0,0,0,0,64,0.22,0.281,0.356,0.637
"153","JOSE VARGAS",51,13,22,0,0,9,18,3,9,1,2,0,0,54,0.431,0.473,1.137,1.61
"154","JOSH RODRIGUEZ",17,0,3,1,0,0,1,1,5,0,0,0,0,18,0.176,0.222,0.294,0.516
"155","JOSH ROMANSKI",52,10,8,3,0,1,1,11,11,0,0,0,0,63,0.154,0.302,0.346,0.648
"156","JOVAN ROSA",56,5,17,2,0,1,9,3,9,2,0,1,0,60,0.304,0.355,0.446,0.801
"157","JUAN APODACA",37,5,8,0,0,3,8,7,7,1,0,0,0,44,0.216,0.356,0.541,0.897
"158","JUAN CARLOS GAMBOA",22,1,4,2,0,0,4,6,6,0,0,0,0,28,0.182,0.357,0.364,0.721
"159","JUAN CARLOS GARCIA",4,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0
"160","JUAN MACIAS",9,4,1,0,0,0,0,0,5,0,0,0,0,9,0.111,0.111,0.111,0.222
"161","JUAN MARTINEZ",53,11,15,2,1,2,3,8,9,1,0,0,0,61,0.283,0.387,0.566,0.953
"162","JUAN TORRES",35,1,8,1,0,0,1,3,4,2,0,0,0,38,0.229,0.325,0.286,0.611
"163","JULIAN ORNELAS",16,5,3,1,0,1,5,2,4,0,1,0,0,18,0.188,0.278,0.562,0.84
"164","JUNIOR LAKE",8,2,0,0,0,0,0,0,4,0,2,0,0,8,0,0,0,0
"165","JUSTIN GREENE",65,9,13,1,0,2,4,4,12,2,10,0,1,70,0.2,0.268,0.354,0.622
"166","KEVIN FLORES",13,4,6,1,0,0,1,0,4,0,0,0,0,13,0.462,0.462,0.615,1.077
"167","KRISTIAN DELGADO",40,3,11,4,1,0,4,4,6,1,1,2,1,47,0.275,0.34,0.55,0.89
"168","LEANDRO CASTRO",29,3,7,1,1,1,5,1,9,0,0,0,0,30,0.241,0.267,0.552,0.819
"169","LEO GERMAN",31,4,9,2,0,0,2,1,7,2,4,0,1,33,0.29,0.353,0.419,0.772
"170","LEO HERAS",34,4,11,2,1,0,5,7,5,0,0,0,2,43,0.324,0.439,0.529,0.968
"171","LUIS ALFONSO CRUZ",24,4,6,2,1,2,6,0,3,0,0,1,0,25,0.25,0.24,0.875,1.115
"172","LUIS ALFONSO GARCIA",46,10,14,5,0,1,10,5,7,1,0,0,0,51,0.304,0.385,0.609,0.994
"173","LUIS DOMOROMO",10,0,2,0,0,0,2,0,2,0,0,0,0,10,0.2,0.2,0.2,0.4
"174","LUIS FONSECA",22,1,3,1,0,0,0,1,8,0,0,0,0,23,0.136,0.174,0.227,0.401
"175","LUIS JUAREZ",64,8,22,4,0,1,9,1,4,0,0,1,0,66,0.344,0.348,0.531,0.879
"176","LUIS MAURICIO SUAREZ",44,6,14,3,1,1,6,7,9,0,0,1,0,52,0.318,0.404,0.614,1.018
"177","LUIS MEDINA",2,1,1,1,0,0,0,0,0,0,1,0,0,2,0.5,0.5,1.5,2
"178","MANNY RODRIGUEZ",56,10,19,5,0,1,14,2,7,0,0,0,0,58,0.339,0.362,0.589,0.951
"179","MANUEL ORDUNO",6,0,1,0,0,0,1,1,2,0,0,1,0,8,0.167,0.25,0.167,0.417
"180","MARC FLORES",0,0,0,0,0,0,0,2,0,0,0,0,0,2,NA,1,NA,NA
"181","MARCO CHICUATE",4,1,2,0,0,0,0,0,1,0,0,0,0,4,0.5,0.5,0.5,1
"182","MARCO GUZMAN",12,4,3,0,0,1,5,0,2,0,0,0,1,13,0.25,0.25,0.583,0.833
"183","MARCO JAIME",4,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0.333,0,0.333
"184","MATT CLARK",40,5,10,2,0,2,4,7,11,0,0,1,0,48,0.25,0.354,0.55,0.904
"185","MAXWELL LEON",33,4,13,4,0,0,1,8,6,0,3,0,0,41,0.394,0.512,0.636,1.148
"186","MICHAEL CROUSE",47,10,13,1,2,3,11,6,15,1,0,0,0,53,0.277,0.37,0.702,1.072
"187","MICHAEL WING",53,9,18,6,0,1,15,5,12,0,0,1,0,59,0.34,0.39,0.642,1.032
"188","MIGUEL TORRERO",37,4,13,1,1,1,11,1,0,1,0,1,0,39,0.351,0.375,0.595,0.97
