,Pitcher_Name,H,HR,R,ER,SO,BB,BK,W,L,HLD,SV,IP,ERA,WHIP
175,MARIO MORALES,4,1,2,2,1,2,0,0,0,1,0,2.2,6.75,2.25
176,MARK SERRANO,3,2,2,2,4,0,0,0,0,2,0,3.2,4.91,0.82
177,MARLON ARIAS,8,2,10,10,6,10,0,0,0,0,0,7.0,12.86,2.57
178,MARTIN SOTELO,3,1,2,1,0,1,0,0,0,1,0,2.1,3.86,1.71
179,MAURICIO LARA,3,0,3,1,3,2,0,0,1,0,0,3.0,3.00,1.67
180,MICHAELANGELO GUZMAN,4,0,3,2,0,2,0,0,1,0,0,0.1,54.00,18.00
181,MIGUEL MEJIA,2,1,1,1,0,1,0,0,0,0,1,2.1,3.86,1.29
182,MIGUEL PENA,3,1,1,1,1,3,0,0,0,0,0,5.0,1.80,1.20
183,MITCH LAMBSON,10,1,3,3,9,1,0,2,0,0,0,12.0,2.25,0.92
184,NATHANAEL SANTIAGO,0,0,1,1,5,2,0,0,0,1,0,3.1,2.70,0.60
185,NICK STRUCK,3,0,0,0,4,2,0,0,0,2,0,4.0,0.00,1.25
186,NICOLAS HEREDIA,3,1,2,2,3,1,0,0,0,0,0,3.0,6.00,1.33
187,NORMAN ELENES,0,0,1,1,4,2,0,1,0,0,0,3.0,3.00,0.67
188,OCTAVIO ACOSTA,5,0,1,1,4,1,0,1,0,0,0,5.2,1.59,1.06
189,ORLANDO LARA,6,0,3,3,2,0,0,0,1,0,0,3.0,9.00,2.00
190,OSCAR FELIX,0,0,0,0,1,0,0,0,0,1,0,0.2,0.00,0.00
191,OSCAR HURTADO,5,0,2,2,2,4,0,0,0,3,0,3.2,4.91,2.45
192,OSCAR VERDUGO,4,0,1,1,5,2,0,0,0,0,0,4.1,2.08,1.38
193,OZZIE MENDEZ,4,0,3,2,2,2,0,0,0,2,0,3.0,6.00,2.00
194,PATRICK JOHNSON,6,0,2,2,1,2,0,1,0,0,0,5.0,3.60,1.60
195,PATRICK MCCOY,2,0,0,0,3,0,0,0,0,2,0,4.0,0.00,0.50
196,PAUL CLEMENS,5,1,2,2,5,3,0,0,0,0,0,8.0,2.25,1.00
197,PAUL PAEZ,3,0,5,5,1,2,0,0,0,0,0,0.2,67.50,7.50
198,PEDRO RODRIGUEZ,2,0,0,0,1,0,0,0,0,0,2,3.0,0.00,0.67
199,PEDRO VILLARREAL,2,1,2,2,1,0,0,0,0,0,0,3.2,4.91,0.55
200,PHIL COKE,4,0,4,4,3,1,0,0,1,0,0,4.0,9.00,1.25
201,RAFAEL DIAZ,2,1,1,1,4,1,0,0,0,0,0,4.1,2.08,0.69
202,RAFAEL MARTIN,1,1,1,1,4,0,0,0,1,0,0,2.0,4.50,0.50
203,RAFAEL PINEDA,6,0,3,3,2,0,0,0,0,0,0,3.2,7.36,1.64
204,RAUL BARRON,3,0,2,2,0,1,0,0,0,0,0,1.0,18.00,4.00
205,RAUL CARRILLO,7,1,5,4,4,1,0,0,0,0,0,5.0,7.20,1.60
206,REFUGIO MARIN,0,0,0,0,0,2,0,0,0,0,0,0.2,0.00,3.00
207,REINIER ROIBAL,5,0,2,2,4,1,0,0,0,0,0,5.0,3.60,1.20
