"","x"
"657","Pedro Florimón"
"658","Pedro Gonzalez"
"659","Pedro Martinez"
"660","Pedro Ordaz"
"661","Peter Maris"
"662","Peter O'Brien"
"663","Phillip Ervin"
"664","Phillip Evans"
"665","Quincy Latimore"
"666","Rafael Polo"
"667","Rafael Rodriguez"
"668","Raico Santos"
"669","Raimel Tapia"
"670","Rainel Rosario"
"671","Ramiro Pena"
"672","Ramon Bramasco"
"673","Ramón Cabrera"
"674","Ramon Enriquez"
"675","Ramón Flores"
"676","Ramon Hernandez"
"677","Ramon Mora"
"678","Ramon Osuna"
"679","Ramon R Ramirez"
"680","Ramon Rios"
"681","Ramón Torres"
"682","Ramon Ulises Villa"
"683","Ramon Valenzuela"
"684","Randy César"
"685","Randy Delgado"
"686","Randy Romero"
"687","Randy Trejo"
"688","Rangel Ravelo"
"689","Rashad Crawford"
"690","Raudy Read"
"691","Rayder Ascanio"
"692","Renae Martinez"
"693","Renato Núñez"
"694","Reynaldo Rodriguez"
"695","Ricardo Cespedes"
"696","Ricardo Rincon"
"697","Ricardo Serrano"
"698","Ricardo Valenzuela"
"699","Richy Pedroza"
"700","Ricky Rodriguez"
"701","Rico Noel"
"702","Rigoberto Terrazas"
"703","Rio Ruiz"
"704","Robbie Glendinning"
"705","Robel García"
"706","Robert Emery"
"707","Robert Rabassa"
"708","Roberto Caro"
"709","Roberto Castro"
"710","Roberto Lopez"
"711","Roberto Mendez"
"712","Roberto Pérez"
"713","Roberto Ramos"
"714","Roberto Valenzuela"
"715","Robinson Cabrera"
"716","Robinson Canó"
"717","Rodolfo Amador"
"718","Roel Santos"
"719","Rogelio Cobos"
"720","Roger Bernadina"
"721","Rolando Acosta"
"722","Roldani Baldwin"
"723","Romer Cuadrado"
"724","Ronnier Mustelier"
"725","Ronny Rodríguez"
"726","Roque Salinas"
"727","Roy Morales"
"728","Ruben Sosa"
"729","Rubén Tejada"
"730","Rubi Silva"
"731","Rudy Flores"
"732","Rudy Martin"
"733","Rusber Estrada"
"734","Rusney Castillo"
"735","Ryan Aguilar"
"736","Ryan Grotjohn"
"737","Ryan Hernandez"
"738","Sam Travis"
"739","Samar Leyva"
"740","Samuel Favela"
"741","Sandber Pimentel"
"742","Santiago Chávez"
"743","Santiago Gonzalez"
"744","Saul Garza"
"745","Saul Soto"
"746","Sebastian Diaz"
"747","Sebastián Elizalde"
"748","Sebastian Garcia"
"749","Sebastian Valle"
"750","Sergio Barthelemy"
"751","Sergio Burruel"
"752","Sergio Contreras"
"753","Sergio Garcia"
"754","Sergio Macias"
"755","Sergio Perez"
"756","Seuly Matias"
"757","Shane Robinson"
"758","Shane Skelly"
"759","Shed Long Jr."
"760","Sho Aranami"
"761","Símon Muzziotti"
"762","Sócrates Brito"
"763","Starlin Castro"
"764","Stefen Romero"
"765","Stevie Wilkerson"
"766","T.J. White"
"767","Takeru Ohashi"
"768","Taylor Motter"
"769","Ti'Quan Forbes"
"770","Tito Polo"
"771","Tomas Romero"
"772","Tomás Telis"
"773","Tomo Otosaka"
"774","Tony Campana"
"775","Tres Barrera"
"776","Trey Hair"
"777","Tyler Marincov"
"778","Victor Landeta"
"779","Victor Marquez"
"780","Victor Mendoza"
"781","Victor Rodriguez"
"782","Victor Ruiz"
"783","Vimael Machín"
"784","Viosergy Rosa"
"785","Walter Ibarra"
"786","Webster Rivas"
"787","Wendell Rijo"
"788","Wilfredo Tovar"
"789","Wilin Rosario"
"790","Willians Astudillo"
"791","Willie Calhoun"
"792","Wilmer Difo"
"793","Wilson Garcia"
"794","Wladimir Balentien"
"795","Wynton Bernard"
"796","Xavier Batista"
"797","Xavier Fernández"
"798","Xavier Scruggs"
"799","Xorge Carrillo"
"800","Yadiel Hernandez"
"801","Yadir Drake"
"802","Yahir Gurrola"
"803","Yairo Muñoz"
"804","Yamaico Navarro"
"805","Yancarlo Angulo"
"806","Yandy Yanes"
"807","Yangervis Solarte"
"808","Yariel Gonzalez"
"809","Yasiel Puig"
"810","Yefri Pérez"
"811","Yeison Asencio"
"812","Yermín Mercedes"
"813","Yojhan Quevedo"
"814","Yonathan Daza"
"815","Yonathan Mendoza"
"816","Yordanys Linares"
"817","Yorman Rodriguez"
"818","Yosmany Guerra"
"819","Yousamot Cota"
"820","Yuniesky Larduet"
"821","Yurisbel Gracial"
"822","Zach Kirtley"
"823","Zoilo Almonte"
