"","Year","Name","Team","POS","GP","AB","PA","LOB","SH","SF","GO","AO","GO/AO","BABIP","AB/HR","K%","BB%","BB/K","wOBA","wRAA","wRC","wRC+"
"150","2019","Alejandro Ortiz","MVA","X",14,31,32,14,0,0,0,5,"0.00",".348","31.00",21.9,0,0,0.335,2.3,7,109
"151","2019","Ramon Rios","MTY","2B",72,269,287,145,3,2,0,74,"0.00",".300","67.25",7,2.8,40,0.324,18.1,62,96
"152","2019","Bryant Aragon","LAG","1B",76,207,231,89,2,1,0,38,"0.00",".408","103.50",27.7,8.2,29.7,0.339,17.5,53,111
"153","2019","Cesar Tapia","MVA","C",61,214,239,100,1,4,0,68,"0.00",".309","30.57",13.8,7.1,51.5,0.357,21.8,59,104
"154","2019","Edgar Duran","TAB","SS",33,121,138,44,1,1,0,32,"0.00",".366","121.00",20.3,8.7,42.9,0.347,11.4,33,123
"155","2019","Juan Martinez","LAR","2B",106,339,371,152,1,3,1,72,"0.01",".360","48.43",22.1,6.7,30.5,0.346,30.3,87,113
"156","2019","Jorge Flores","YUC","SS",114,381,485,187,25,1,1,95,"0.01",".343","76.20",14.6,12,81.7,0.379,53.2,128,115
"157","2019","Jose Lugo","CAM","X",47,52,59,23,1,0,0,17,"0.00",".405","-.--",25.4,10.2,40,0.347,4.9,14,110
"158","2019","Dariel Álvarez","SLT","RF",117,475,502,227,0,4,0,156,"0.00",".290","26.39",10,3.6,36,0.343,39.8,117,97
"159","2019","Eric Aguilera","TIG","DH",100,376,423,200,0,2,1,83,"0.01",".382","26.86",27.9,9.2,33.1,0.373,44.2,109,121
"160","2019","Julian Ornelas","OAX","RF",110,376,431,188,0,6,3,96,"0.03",".318","17.90",20.2,10.7,52.9,0.396,53.4,120,93
"161","2019","Eliezer Ortiz","AGS","LF",93,280,321,127,4,4,0,53,"0.00",".342","56.00",18.7,5.6,30,0.35,27.3,77,95
"162","2019","Asael Sanchez","CAM","RF",85,294,327,128,6,1,0,70,"0.00",".344","29.40",21.4,7.6,35.7,0.359,30.3,81,109
"163","2019","Gerson Manzanillo","TAB","LF",82,263,277,93,2,2,0,46,"0.00",".332","131.50",15.5,2.9,18.6,0.3,11.9,55,129
"164","2019","Alan Sanchez","OAX","RF",56,179,193,105,0,3,0,42,"0.00",".309","35.80",14.5,4.7,32.1,0.336,14.1,44,91
"165","2019","Hector Tellez","TAB","LF",34,81,88,34,6,0,0,11,"0.00",".407","81.00",29.5,1.1,3.8,0.298,3.6,17,131
"166","2019","Herlis Rodriguez","PUE","CF",71,261,312,91,2,1,0,65,"0.00",".359","29.00",23.1,11.5,50,0.402,40.3,88,93
"167","2019","Jorge Cantu","MEX","1B",74,240,277,135,2,3,0,56,"0.00",".320","20.00",20.2,9,44.6,0.385,31.8,74,78
"168","2019","Luis Flores","LAR","C",38,120,129,68,0,1,0,35,"0.00",".295","20.00",15.5,6.2,40,0.364,12.5,32,113
"169","2019","Jesus Arredondo","PUE","1B",99,353,410,173,1,2,1,116,"0.01",".293","22.06",12.7,12.9,101.9,0.39,48.8,112,92
"170","2019","Juan Apodaca","SLT","C",81,272,309,137,4,1,0,46,"0.00",".333","45.33",17.5,7.8,44.4,0.352,26.8,74,97
"171","2019","Paul Leon","CAM","SS",104,364,393,166,5,3,0,82,"0.00",".325","30.33",19.1,4.3,22.7,0.337,29.1,90,110
"172","2019","Humberto Castro","TAB","2B",96,276,316,107,10,3,2,67,"0.03",".318","-.--",10.8,5.1,47.1,0.321,19.2,68,127
"173","2019","Ricardo Serrano","SLT","3B",91,309,340,125,2,4,1,90,"0.01",".316","22.07",20,6.5,32.4,0.356,30.7,83,97
"174","2019","Marco Jaime","LEO","SS",113,416,481,152,12,4,1,90,"0.01",".340","-.--",15.8,8.9,56.6,0.338,36.1,110,85
"175","2019","Jose Heberto Felix","PUE","C",64,178,193,85,4,0,2,35,"0.06",".299","44.50",10.4,3.1,30,0.328,12.8,43,89
"176","2019","Noah Perio","MVA","2B",77,250,273,100,0,4,1,67,"0.01",".310","27.78",17.6,5.9,33.3,0.344,21.9,64,105
"177","2019","Edson Garcia","AGS","RF",117,397,474,190,8,8,3,131,"0.02",".316","33.08",16.9,11,65,0.375,50.4,123,96
"178","2019","Manuel Cruz","OAX","C",31,43,50,26,0,0,2,4,"0.50",".423","43.00",32,12,37.5,0.371,5.1,13,91
"179","2019","Quincy Latimore","TIG","LF",14,43,51,19,0,0,0,6,"0.00",".458","43.00",35.3,13.7,38.9,0.385,5.8,14,117
"180","2019","Danry Vasquez","AGS","CF",26,104,121,39,2,0,0,22,"0.00",".286","14.86",16.5,12.4,75,0.404,15.8,34,97
"181","2019","Jose Amador","MVA","DH",57,169,189,94,0,3,1,54,"0.02",".336","33.80",22.2,5.8,26.2,0.342,14.8,44,105
"182","2019","Carlos Alberto Gastelum","PUE","2B",53,169,187,71,3,0,0,40,"0.00",".310","56.33",12.8,7.5,58.3,0.333,13.2,42,90
"183","2019","Leo Heras","YUC","LF",102,349,433,150,7,6,0,100,"0.00",".318","23.27",18.9,15.7,82.9,0.399,54.8,121,114
"184","2019","Gerardo Garcia","TAB","SS",25,54,61,26,3,0,0,18,"0.00",".333","-.--",14.8,4.9,33.3,0.307,3,12,133
"185","2019","Hector Guerrero","TIG","2B",28,72,82,31,4,1,0,20,"0.00",".317","-.--",12.2,6.1,50,0.298,3.4,16,128
"186","2019","Cristhian Presichi","LAG","DH",78,252,281,119,0,2,2,71,"0.03",".303","36.00",13.9,8.9,64.1,0.344,22.5,66,110
"187","2019","Jose Cardona","LEO","CF",31,101,110,50,1,1,2,26,"0.08",".318","101.00",14.5,5.5,37.5,0.307,5.4,22,85
