"","total_splits","season","num_teams","rank","games_played","ground_outs","air_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","avg","at_bats","obp","slg","ops","caught_stealing","stolen_bases","stolen_base_percentage","ground_into_double_play","number_of_pitches","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","babip","ground_outs_to_airouts","catchers_interference","at_bats_per_home_run","team_id","team_name","team_link","player_id","player_full_name","player_link","player_first_name","player_last_name","league_id","league_name","league_link","sport_id","sport_link","sport_abbreviation","position_code","position_name","position_type","position_abbreviation","player_pool","type_display_name","group_display_name"
"35",450,"2024",1,35,66,51,56,35,15,0,13,58,10,1,83,4,".346",240,".370",".571",".941",0,0,".---",14,880,262,137,54,119,0,8,".395","0.91",0,"18.46",560,"Acereros del Norte","/api/v1/teams/560",515768,"Balbino Fuenmayor","/api/v1/people/515768","Balbino","Fuenmayor",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","10","Designated Hitter","Hitter","DH","ALL","season","hitting"
"36",450,"2024",1,36,88,81,74,67,22,0,19,63,39,2,113,1,".346",327,".412",".587",".999",9,13,".591",10,1457,371,192,70,147,0,4,".378","1.09",0,"17.21",528,"Rieleros de Aguascalientes","/api/v1/teams/528",622580,"Angel Reyes","/api/v1/people/622580","Angel","Reyes",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","8","Outfielder","Outfielder","CF","ALL","season","hitting"
"37",450,"2024",1,37,88,89,75,49,22,0,14,54,48,4,113,0,".343",329,".425",".538",".963",0,1,"1.000",5,1508,379,177,69,147,0,2,".376","1.19",0,"23.50",560,"Acereros del Norte","/api/v1/teams/560",625506,"Aldrem Corredor","/api/v1/people/625506","Aldrem","Corredor",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","3","First Base","Infielder","1B","ALL","season","hitting"
"38",450,"2024",1,38,76,70,44,77,19,4,16,99,45,0,110,4,".343",321,".430",".576","1.006",2,8,".800",5,1518,372,185,63,117,2,0,".456","1.59",0,"20.06",532,"Diablos Rojos del Mexico","/api/v1/teams/532",620439,"Franklin Barreto","/api/v1/people/620439","Franklin","Barreto",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","8","Outfielder","Outfielder","CF","ALL","season","hitting"
"39",450,"2024",1,39,37,28,32,12,4,0,2,14,7,1,37,0,".343",108,".376",".435",".811",2,0,".000",3,417,118,47,14,43,1,2,".372","0.88",0,"54.00",575,"Dorados de Chihuahua","/api/v1/teams/575",593432,"Jesus Loya","/api/v1/people/593432","Jesus","Loya",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","7","Outfielder","Outfielder","LF","ALL","season","hitting"
"40",450,"2024",1,40,17,12,8,5,0,0,0,8,6,0,13,0,".342",38,".432",".342",".774",2,2,".500",0,184,47,13,2,9,3,0,".433","1.50",0,"-.--",4444,"Caliente de Durango","/api/v1/teams/4444",802888,"Victor Marquez","/api/v1/people/802888","Victor","Marquez",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","6","Shortstop","Infielder","SS","ALL","season","hitting"
"41",450,"2024",1,41,90,100,95,66,29,0,14,52,29,1,124,2,".342",363,".389",".537",".926",3,6,".667",14,1350,402,195,78,145,4,4,".365","1.05",0,"25.93",528,"Rieleros de Aguascalientes","/api/v1/teams/528",650957,"Andretty Cordero","/api/v1/people/650957","Andretty","Cordero",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","3","First Base","Infielder","1B","ALL","season","hitting"
"42",450,"2024",1,42,85,77,53,65,22,0,15,85,43,0,109,6,".341",320,".424",".550",".974",5,10,".667",6,1506,373,176,66,134,0,4,".420","1.45",0,"21.33",447,"Algodoneros Union Laguna","/api/v1/teams/447",657051,"Nicholas Torres","/api/v1/people/657051","Nicholas","Torres",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","9","Outfielder","Outfielder","RF","ALL","season","hitting"
"43",450,"2024",1,43,58,54,30,30,9,1,1,20,25,2,52,3,".340",153,".442",".431",".873",1,6,".857",2,765,184,66,31,72,3,0,".386","1.80",0,"153.00",532,"Diablos Rojos del Mexico","/api/v1/teams/532",661148,"Carlos Sepulveda","/api/v1/people/661148","Carlos","Sepulveda",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","4","Second Base","Infielder","2B","ALL","season","hitting"
"44",450,"2024",1,44,87,92,72,53,27,9,6,57,38,0,112,3,".339",330,".410",".530",".940",3,7,".700",15,1364,374,175,57,148,1,2,".394","1.28",0,"55.00",536,"Tecos de los Dos Laredos","/api/v1/teams/536",606281,"Danry Vasquez","/api/v1/people/606281","Danry","Vasquez",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","9","Outfielder","Outfielder","RF","ALL","season","hitting"
