"","Batter_Name","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH"
"260","JOAQUIN LARA",0,0,0,0,0,0,0,0,0,0,0,0,0
"261","JOE MUNOZ",2,0,0,0,0,0,0,0,1,0,0,0,0
"262","JOHN MILLAN",0,0,0,0,0,0,0,0,0,0,0,0,0
"263","JON DEL CAMPO",43,10,15,2,1,1,8,4,9,0,1,0,2
"264","JONATHAN ACEVES",42,5,11,5,0,1,4,6,12,1,0,0,0
"265","JONATHAN ARMENTA",14,0,3,0,0,0,4,0,7,0,0,1,0
"266","JONATHAN CASTELLANOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"267","JONATHAN FRUTOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"268","JONATHAN JONES",54,8,17,4,1,2,7,9,14,0,4,0,1
"269","JONATHAN PARTIDA",0,0,0,0,0,0,0,0,0,0,0,0,0
"270","JORDAN ABOITES",0,0,0,0,0,0,0,0,0,0,0,0,0
"271","JORGE CANTU",47,7,12,3,0,1,11,5,6,0,0,3,0
"272","JORGE FLORES",55,15,18,1,1,1,5,6,8,1,4,0,0
"273","JORGE GONZALEZ",4,0,0,0,0,0,0,0,2,0,0,0,0
"274","JORGE IBARRA",0,0,0,0,0,0,0,0,0,0,0,0,0
"275","JORGE REYES",0,0,0,0,0,0,0,0,0,0,0,0,0
"276","JORGE RIVERA",0,0,0,0,0,0,0,0,0,0,0,0,0
"277","JOSE AGUILAR",31,4,7,1,0,1,7,3,6,1,1,1,3
"278","JOSE AMADOR",57,5,20,2,0,3,11,6,10,2,0,0,0
"279","JOSE ASCANIO",0,0,0,0,0,0,0,0,0,0,0,0,0
"280","JOSE AUGUSTO FIGUEROA",35,7,13,3,0,0,4,9,5,0,0,1,2
"281","JOSE BARAJAS",0,0,0,0,0,0,0,0,0,0,0,0,0
"282","JOSE CARLOS MEDINA",0,0,0,0,0,0,0,0,0,0,0,0,0
"283","JOSE CARLOS URENA",18,3,5,1,0,0,4,6,2,1,1,0,0
"284","JOSE CRUZ",1,1,0,0,0,0,0,0,1,0,0,0,0
"285","JOSE FRUTOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"286","JOSE HAROS",0,0,0,0,0,0,0,0,0,0,0,0,0
"287","JOSE HEBERTO FELIX",13,2,4,1,0,0,4,3,0,0,0,0,1
"288","JOSE ISIDRO MARQUEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"289","JOSE LOPEZ CRUZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"290","JOSE LUGO",3,0,0,0,0,0,0,0,1,0,0,0,0
"291","JOSE LUNA",15,4,4,0,0,2,8,0,7,0,0,0,0
"292","JOSE MANUEL LOPEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"293","JOSE MANUEL OROZCO",56,6,12,1,0,2,6,6,17,1,0,0,0
"294","JOSE MARRUJO",0,0,0,0,0,0,0,0,0,0,0,0,0
"295","JOSE MARTINEZ",45,2,14,1,0,0,4,1,11,2,0,0,1
"296","JOSE MERAZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"297","JOSE MORENO",3,0,0,0,0,0,0,0,2,0,0,0,0
"298","JOSE PINA",0,0,0,0,0,0,0,0,0,0,0,0,0
"299","JOSE RUIZ",59,3,13,4,0,0,6,5,14,0,0,0,0
"300","JOSE SAMAYOA",0,0,0,0,0,0,0,0,0,0,0,0,0
"301","JOSE VARGAS",51,13,22,0,0,9,18,3,9,1,2,0,0
"302","JOSH JUDY",0,0,0,0,0,0,0,0,0,0,0,0,0
"303","JOSH LOWEY",0,0,0,0,0,0,0,0,0,0,0,0,0
"304","JOSH LUEKE",0,0,0,0,0,0,0,0,0,0,0,0,0
"305","JOSH RODRIGUEZ",17,0,3,1,0,0,1,1,5,0,0,0,0
"306","JOSH ROMANSKI",52,10,8,3,0,1,1,11,11,0,0,0,0
"307","JOVAN ROSA",56,5,17,2,0,1,9,3,9,2,0,1,0
"308","JOVANY LOPEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"309","JUAN APODACA",37,5,8,0,0,3,8,7,7,1,0,0,0
"310","JUAN CARLOS GAMBOA",22,1,4,2,0,0,4,6,6,0,0,0,0
"311","JUAN CARLOS GARCIA",4,0,0,0,0,0,0,0,3,0,0,0,0
"312","JUAN GRULLON",0,0,0,0,0,0,0,0,0,0,0,0,0
"313","JUAN MACIAS",9,4,1,0,0,0,0,0,5,0,0,0,0
"314","JUAN MARTINEZ",53,11,15,2,1,2,3,8,9,1,0,0,0
"315","JUAN OMAR ESPINOZA",0,0,0,0,0,0,0,0,0,0,0,0,0
"316","JUAN PABLO ORAMAS",0,0,0,0,0,0,0,0,0,0,0,0,0
"317","JUAN PANIAGUA",0,0,0,0,0,0,0,0,0,0,0,0,0
"318","JUAN RAMON NORIEGA",0,0,0,0,0,0,0,0,0,0,0,0,0
"319","JUAN RODRIGUEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"320","JUAN SANDOVAL",0,0,0,0,0,0,0,0,0,0,0,0,0
"321","JUAN TORRES",35,1,8,1,0,0,1,3,4,2,0,0,0
"322","JULIAN ARBALLO",0,0,0,0,0,0,0,0,0,0,0,0,0
"323","JULIAN ORNELAS",16,5,3,1,0,1,5,2,4,0,1,0,0
"324","JULIO FELIX",0,0,0,0,0,0,0,0,0,0,0,0,0
"325","JULIO PEREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"326","JUNIOR LAKE",8,2,0,0,0,0,0,0,4,0,2,0,0
"327","JUSTIN GREENE",65,9,13,1,0,2,4,4,12,2,10,0,1
"328","KELVIN MARTE",0,0,0,0,0,0,0,0,0,0,0,0,0
"329","KEVIN FLORES",13,4,6,1,0,0,1,0,4,0,0,0,0
"330","KRISTIAN DELGADO",40,3,11,4,1,0,4,4,6,1,1,2,1
"331","KYLE DRABEK",0,0,0,0,0,0,0,0,0,0,0,0,0
"332","KYLE LOBSTEIN",0,0,0,0,0,0,0,0,0,0,0,0,0
"333","LEANDRO CASTRO",29,3,7,1,1,1,5,1,9,0,0,0,0
"334","LENIX OSUNA",0,0,0,0,0,0,0,0,0,0,0,0,0
"335","LEO GERMAN",31,4,9,2,0,0,2,1,7,2,4,0,1
"336","LEO HERAS",34,4,11,2,1,0,5,7,5,0,0,0,2
