"","Season","Name","Team","POS","GP","GS","INN","A","PO","E","F%","DP","TP","CS","SB","CS%","PB","PK"
"140","2024","Joe Corbett","DUR","P",16,0,"16.0",1,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"141","2024","Francisco Cordoba","MEX","C",13,7,"75.1",8,62,0,"1.000",1,0,4,7,0.363636363636364,0,0
"142","2024","Jesus Cordova","JAL","C",7,0,"12.0",0,8,0,"1.000",0,0,0,1,0,0,0
"143","2024","Rafael Cordova","MEX","P",28,0,"33.2",2,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"144","2024","Daniel Cornejo","AGS","CF",3,0,"9.0",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"145","2024","Daniel Cornejo","AGS","RF",35,27,"237.1",1,34,0,"1.000",0,0,NA,NA,NA,NA,NA
"146","2024","Bryan Corral","MVA","LF",2,0,"2.0",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"147","2024","Pablo Cortes","CHI","P",8,0,"9.1",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"148","2024","Juan Cossio","TIG","P",37,0,"32.0",5,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"149","2024","Clark Cota","LAR","P",5,0,"5.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"150","2024","Fabian Cota","MTY","P",30,0,"26.0",4,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"151","2024","Justin Courtney","MEX","P",15,0,"14.1",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"152","2024","Narciso Crook","TIG","LF",1,1,"10.0",0,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"153","2024","Narciso Crook","TIG","RF",1,1,"8.0",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"154","2024","Daniel Cruz","LEO","P",34,0,"36.1",3,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"155","2024","Jesus Cruz","YUC","P",39,0,"36.1",4,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"156","2024","Romer Cuadrado","OAX","LF",17,15,"132.2",0,21,0,"1.000",0,0,NA,NA,NA,NA,NA
"157","2024","Romer Cuadrado","MTY","1B",2,0,"5.0",1,8,0,"1.000",0,0,NA,NA,NA,NA,NA
"158","2024","Oscar Cuello","LAR","P",7,0,"11.1",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"159","2024","Cesar Cuevas","TIG","SS",3,3,"21.0",6,1,0,"1.000",1,0,NA,NA,NA,NA,NA
"160","2024","Allen Córdoba","LAG","2B",11,3,"45.0",13,12,0,"1.000",2,0,NA,NA,NA,NA,NA
"161","2024","Allen Córdoba","LAG","3B",2,2,"14.0",1,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"162","2024","Allen Córdoba","LAG","LF",1,1,"8.0",0,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"163","2024","Tiago Da Silva","DUR","P",21,14,"64.1",10,6,0,"1.000",1,0,NA,NA,NA,NA,NA
"164","2024","Kevin Davis","LEO","P",37,0,"40.0",5,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"165","2024","Yonathan Daza","OAX","CF",61,60,"520.2",5,147,0,"1.000",2,0,NA,NA,NA,NA,NA
"166","2024","Yonathan Daza","LAR","LF",4,4,"31.0",1,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"167","2024","Yonathan Daza","LAR","RF",21,19,"164.1",3,30,0,"1.000",1,0,NA,NA,NA,NA,NA
"168","2024","Adrian De Horta","OAX","P",12,4,"21.0",1,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"169","2024","Daniel De La Fuente","MTY","P",5,1,"9.0",2,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"170","2024","Alex Delgado","CHI","P",3,1,"6.1",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"171","2024","Kristian Delgado","CHI","3B",5,1,"15.2",2,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"172","2024","Kristian Delgado","CHI","SS",1,0,"2.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"173","2024","Kristian Delgado","CHI","RF",1,0,"1.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"174","2024","Randall Delgado","YUC","P",8,8,"36.1",4,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"175","2024","Odrisamer Despaigne","YUC","P",18,18,"98.2",16,14,0,"1.000",0,0,NA,NA,NA,NA,NA
"176","2024","Eduardo Diaz","YUC","LF",3,2,"18.0",0,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"177","2024","Diego Dominguez","CAM","P",3,0,"2.1",1,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"178","2024","Yadir Drake","YUC","1B",2,1,"11.2",0,11,0,"1.000",2,0,NA,NA,NA,NA,NA
"179","2024","Frank Duncan","DUR","P",12,11,"41.0",4,8,0,"1.000",0,0,NA,NA,NA,NA,NA
"180","2024","Edwin Díaz","SLT","1B",1,0,"2.1",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"181","2024","Yennsy Díaz","VER","P",6,1,"5.2",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"182","2024","Norman Elenes","CAM","P",21,0,"21.1",4,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"183","2024","Sebastián Elizalde","MTY","LF",16,15,"122.1",1,20,0,"1.000",0,0,NA,NA,NA,NA,NA
"184","2024","Sebastián Elizalde","MTY","CF",4,4,"26.2",0,4,0,"1.000",0,0,NA,NA,NA,NA,NA
"185","2024","Jerar Encarnacion","OAX","LF",16,16,"127.0",0,21,0,"1.000",0,0,NA,NA,NA,NA,NA
"186","2024","Jerar Encarnacion","OAX","RF",7,5,"46.1",1,10,0,"1.000",0,0,NA,NA,NA,NA,NA
"187","2024","Angel Erro","TIG","1B",17,12,"102.0",11,84,0,"1.000",11,0,NA,NA,NA,NA,NA
"188","2024","Luis Escobar","MVA","P",18,12,"63.2",4,5,0,"1.000",0,0,NA,NA,NA,NA,NA
"189","2024","Julian Escobedo","LAG","CF",10,5,"49.0",0,18,0,"1.000",0,0,NA,NA,NA,NA,NA
"190","2024","Julian Escobedo","LAG","RF",11,8,"77.0",1,13,0,"1.000",0,0,NA,NA,NA,NA,NA
"191","2024","Raynel Espinal","AGS","P",6,4,"11.1",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"192","2024","Calvin Estrada","JAL","1B",1,1,"8.0",0,9,0,"1.000",0,0,NA,NA,NA,NA,NA
"193","2024","Calvin Estrada","JAL","CF",11,5,"50.0",0,14,0,"1.000",0,0,NA,NA,NA,NA,NA
"194","2024","Phillip Evans","TIJ","2B",2,2,"17.0",3,2,0,"1.000",1,0,NA,NA,NA,NA,NA
"195","2024","Phillip Evans","TIJ","3B",17,17,"147.0",33,12,0,"1.000",3,0,NA,NA,NA,NA,NA
"196","2024","Jesus Fabela","MEX","LF",4,1,"11.1",0,4,0,"1.000",0,0,NA,NA,NA,NA,NA
"197","2024","Jeurys Familia","MEX","P",9,0,"9.0",2,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"198","2024","Jose Heberto Felix","TAB","C",30,25,"207.1",15,187,0,"1.000",0,0,13,18,0.419354838709677,1,0
"199","2024","Neftalí Feliz","YUC","P",32,0,"35.1",6,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"200","2024","José Manuel Fernández","JAL","P",34,0,"25.1",6,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"201","2024","Julian Fernández","VER","P",34,0,"34.2",3,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"202","2024","Xavier Fernández","MEX","C",7,6,"48.2",4,52,0,"1.000",1,0,2,3,0.4,0,0
"203","2024","Edwin Fierro","MEX","P",33,0,"33.0",6,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"204","2024","Carlos Figueroa","TIG","LF",36,35,"307.1",2,54,0,"1.000",1,0,NA,NA,NA,NA,NA
"205","2024","Carlos Figueroa","TIG","CF",22,21,"173.1",0,39,0,"1.000",0,0,NA,NA,NA,NA,NA
"206","2024","Bryant Flete","TIG","2B",1,1,"7.0",2,2,0,"1.000",1,0,NA,NA,NA,NA,NA
"207","2024","Bryant Flete","TIG","RF",3,3,"22.0",0,6,0,"1.000",0,0,NA,NA,NA,NA,NA
"208","2024","Wendell Floranus","DUR","P",45,0,"39.1",4,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"209","2024","Alejandro Flores","DUR","1B",1,0,"3.0",0,3,0,"1.000",1,0,NA,NA,NA,NA,NA
"210","2024","Alejandro Flores","DUR","LF",3,1,"12.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
