"","Year","Name","Team","POS","GP","GS","INN","TC","RF/G","RF/9","TE","CERA","CI"
"206","2019","Conor Harber","MVA","P",9,9,"46.2",10,"1.11","1.96",0,NA,NA
"207","2019","Scott Harkin","PUE","P",17,14,"83.1",15,"0.88","1.63",0,NA,NA
"208","2019","Jose Haros","DUR","P",13,0,"15.0",3,"0.23","1.80",0,NA,NA
"209","2019","Alonzo Harris","OAX","RF",5,0,"14.1",4,"0.80","2.57",0,NA,NA
"210","2019","David Harris","TIG","RF",2,2,"18.0",3,"1.50","1.50",0,NA,NA
"211","2019","Bernardo Heras","TIG","C",19,7,"78.0",51,"2.68","5.88",0,"6.35",0
"212","2019","Leo Heras","YUC","CF",14,11,"104.2",27,"1.93","2.34",0,NA,NA
"213","2019","Luis Heredia","LAR","P",26,0,"25.0",5,"0.19","1.80",0,NA,NA
"214","2019","Carlos Hernandez","TIJ","P",18,17,"73.0",10,"0.56","1.23",0,NA,NA
"215","2019","Francisco Hernandez","YUC","LF",7,0,"16.1",5,"0.71","2.81",0,NA,NA
"216","2019","Francisco Hernandez","YUC","RF",17,0,"30.0",6,"0.35","1.80",0,NA,NA
"217","2019","Josuan Hernandez","SLT","1B",1,0,"1.0",1,"1.00","9.00",0,NA,NA
"218","2019","Taylor Hill","DUR","P",6,6,"27.1",2,"0.33","0.67",0,NA,NA
"219","2019","Daniel Hinojosa","LAG","LF",5,2,"23.2",2,"0.40","0.78",0,NA,NA
"220","2019","Daniel Hinojosa","LAG","RF",3,1,"14.0",2,"0.67","1.29",0,NA,NA
"221","2019","Cedric Hunter","LEO","LF",19,17,"142.0",30,"1.58","1.90",0,NA,NA
"222","2019","Cedric Hunter","LEO","RF",37,31,"260.0",52,"1.41","1.80",0,NA,NA
"223","2019","Alfredo Hurtado","MTY","C",26,9,"103.2",85,"3.27","7.43",0,"7.12",0
"224","2019","Fernando Inzunza","CAM","3B",2,0,"2.0",1,"0.50","4.50",0,NA,NA
"225","2019","Fernando Irazoqui","AGS","P",31,0,"28.0",7,"0.23","2.25",0,NA,NA
"226","2019","Cesar Jimenez","DUR","P",4,3,"7.0",1,"0.25","1.29",0,NA,NA
