Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Rene Reyes,QUI,39,26,86,99,27,21,2,0,4,12,22,10,0,19,1,0,2,2,0,1,0.314
Carlos Alberto Gastelum,QUI,37,63,243,274,76,63,11,1,1,33,24,16,0,24,7,2,6,8,3,3,0.313
Ramon R Ramirez,QUI,26,47,117,129,36,22,8,0,6,11,20,6,0,33,1,0,5,1,3,2,0.308
Barbaro Canizares,QUI,37,16,54,72,16,13,2,0,1,9,10,15,1,8,1,2,0,2,0,0,0.296
Angel Erro,QUI,22,16,17,19,5,3,2,0,0,3,3,0,0,3,1,0,1,0,1,0,0.294
C.J. Retherford,QUI,31,5,14,18,4,3,1,0,0,3,0,4,1,3,0,0,0,0,0,0,0.286
Ricardo Vazquez,QUI,32,24,40,42,11,8,3,0,0,3,3,1,0,14,0,1,0,2,0,0,0.275
Pedro Ciriaco,QUI,31,38,146,153,39,27,10,0,2,9,16,4,1,25,1,2,0,6,3,2,0.267
Freddy Guzman,QUI,36,44,164,198,43,36,4,3,0,33,7,31,0,30,0,2,1,3,19,5,0.262
Greg Golson,QUI,31,27,100,114,26,22,4,0,0,11,9,12,1,26,2,0,0,2,5,3,0.26
Christian Marrero,QUI,30,47,161,193,41,26,7,1,7,20,23,23,2,30,8,1,0,9,0,1,0.255
Sergio Contreras,QUI,37,53,179,196,45,39,5,0,1,16,16,12,0,28,2,2,1,4,2,2,0.251
Jesus Valenzuela,QUI,28,24,41,45,10,7,1,1,1,4,3,3,0,9,1,0,0,1,0,0,0.244
Brandon Villarreal,QUI,22,51,87,99,19,15,3,0,1,17,5,7,0,16,1,3,1,0,1,2,0.218
Francisco Cordoba,QUI,33,22,62,66,12,10,1,0,1,4,4,1,0,16,0,0,3,0,0,0,0.194
Jose Heberto Felix,QUI,29,20,42,44,8,8,0,0,0,3,1,1,0,2,0,0,1,2,0,0,0.19
Eugenio Velez,QUI,35,16,62,68,11,7,2,0,2,8,11,4,0,5,0,2,0,3,2,1,0.177
Mario Vega,QUI,25,31,47,52,8,6,2,0,0,5,2,2,0,11,1,1,1,0,1,0,0.17
Iker Franco,QUI,36,17,51,56,8,7,0,0,1,2,3,4,0,12,0,1,0,2,0,0,0.157
Jerome Pena,QUI,28,11,32,42,5,3,1,0,1,5,3,9,0,14,0,1,0,0,0,0,0.156
Fernando Alejos,QUI,38,13,24,26,3,1,2,0,0,2,0,2,0,9,0,0,0,0,0,0,0.125
Andres Vizcarra,QUI,20,9,8,8,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.125
