"","Pitcher_Name","OUT","H","HR","R","ER","SO","BB","BK","W","L","HLD","SV"
"120","JESSE ESTRADA",26,6,0,0,0,3,2,0,0,0,2,1
"121","JESUS ADRIAN CASTILLO",48,13,0,3,1,16,4,0,2,1,0,0
"122","JESUS ALCANTAR",31,9,0,9,8,7,4,0,1,1,0,0
"123","JESUS ANGUAMEA",40,9,0,2,1,14,7,1,1,0,0,0
"124","JESUS BARRAZA",29,1,0,0,0,4,3,0,3,0,1,0
"125","JESUS GARCIA",13,10,0,7,6,2,0,0,0,0,3,0
"126","JESUS PIRELA",14,5,1,2,2,1,0,0,0,0,1,0
"127","JOAQUIN LARA",22,15,1,9,8,8,2,0,1,0,0,0
"128","JOHN MILLAN",11,7,0,3,3,0,2,0,0,0,0,0
"129","JONATHAN CASTELLANOS",46,16,0,4,4,7,7,0,2,0,0,0
"130","JONATHAN FRUTOS",13,5,0,2,2,2,6,0,0,0,0,0
"131","JONATHAN PARTIDA",8,1,0,0,0,0,3,0,0,0,1,0
"132","JORDAN ABOITES",18,5,2,5,4,6,5,0,0,2,0,0
"133","JORGE IBARRA",19,5,0,3,3,5,2,0,0,0,4,0
"134","JORGE QUINONES",2,2,0,2,2,0,1,0,0,0,0,0
"135","JORGE REYES",35,15,0,6,6,9,3,0,0,0,0,0
"136","JORGE RIVERA",60,21,0,10,8,13,3,0,0,0,2,0
"137","JOSE ASCANIO",11,5,0,2,2,2,1,0,0,0,0,2
"138","JOSE BARAJAS",33,15,1,12,11,6,8,0,0,2,0,0
"139","JOSE CARLOS MEDINA",15,5,1,2,2,5,2,0,0,0,0,0
"140","JOSE FRUTOS",8,2,0,0,0,2,2,0,0,0,0,0
"141","JOSE HAROS",6,2,0,0,0,2,0,0,0,0,0,0
"142","JOSE ISIDRO MARQUEZ",11,3,2,2,2,3,1,0,0,0,2,0
"143","JOSE LOPEZ CRUZ",32,19,0,8,8,9,4,0,1,1,1,0
"144","JOSE MANUEL LOPEZ",23,12,1,3,3,9,4,0,0,0,2,0
"145","JOSE MARRUJO",51,29,3,25,24,7,11,0,1,2,0,0
"146","JOSE MERAZ",8,2,0,1,1,3,0,0,0,0,1,0
"147","JOSE PINA",63,14,2,4,4,15,7,0,3,0,0,0
"148","JOSE SAMAYOA",96,23,0,4,4,20,8,1,2,2,0,0
"149","JOSH JUDY",23,7,0,2,2,1,2,0,0,1,3,0
"150","JOSH LOWEY",60,20,2,8,8,24,9,0,1,1,0,0
"151","JOSH LUEKE",21,3,0,2,2,7,1,0,1,0,0,3
"152","JOVANY LOPEZ",10,9,1,10,10,2,2,0,0,0,1,0
"153","JUAN GRULLON",26,11,0,4,2,10,4,0,2,0,0,2
"154","JUAN MACIAS",20,8,0,2,2,5,1,0,0,0,0,0
"155","JUAN OMAR ESPINOZA",28,8,1,6,6,5,4,0,0,0,0,0
"156","JUAN PABLO ORAMAS",85,21,1,8,6,19,13,0,3,0,0,0
"157","JUAN PANIAGUA",6,0,0,0,0,2,0,0,0,0,0,2
"158","JUAN RAMON NORIEGA",27,11,1,5,5,6,1,0,2,0,4,0
"159","JUAN RODRIGUEZ",20,8,0,8,8,3,6,0,0,1,2,0
"160","JUAN SANDOVAL",31,14,2,6,6,5,0,0,1,1,2,0
"161","JULIAN ARBALLO",14,7,1,3,3,5,4,0,0,0,2,0
"162","JULIO FELIX",27,6,0,5,5,6,3,0,1,0,1,0
"163","KELVIN MARTE",47,16,0,9,9,7,7,0,1,1,0,0
"164","KYLE DRABEK",6,7,2,11,11,2,7,0,0,2,0,0
"165","KYLE LOBSTEIN",43,14,0,2,2,10,9,0,1,0,0,0
"166","LENIX OSUNA",4,3,1,2,2,3,0,0,0,0,0,0
"167","LEURIS GOMEZ",40,17,1,7,6,11,5,0,0,1,0,0
"168","LINDER CASTRO",21,9,0,2,2,7,1,0,1,0,2,0
"169","LOIGER PADRON",9,4,0,1,1,2,1,0,1,0,3,0
"170","LUIS ANGEL DANIEL",32,5,0,3,3,9,5,0,0,0,2,0
"171","LUIS AYALA",8,4,0,3,3,5,2,0,0,1,0,1
"172","LUIS DE LA O",18,5,0,3,2,4,2,0,0,0,0,0
"173","LUIS DE LUNA",13,3,0,2,1,5,2,0,0,0,2,0
"174","LUIS IVAN RODRIGUEZ",30,8,0,6,6,7,6,0,2,2,2,0
"175","LUIS MENDEZ",37,21,4,16,15,8,5,0,0,3,0,0
"176","LUIS NIEBLA",48,17,2,8,8,13,10,0,1,2,0,0
"177","LUIS PAYAN",26,13,1,12,9,4,7,0,0,2,0,0
"178","LUIS PEREZ",75,22,3,15,13,17,13,0,1,1,0,0
"179","MAIKEL CLETO",24,6,0,2,2,7,3,0,0,2,0,3
"180","MANNY ACOSTA",29,7,0,0,0,6,0,0,2,0,4,0
"181","MANNY BARREDA",11,8,1,5,5,3,4,0,0,0,0,0
"182","MANUEL AL FLORES",36,18,2,12,12,11,3,0,0,1,0,0
"183","MANUEL BAEZ",21,9,1,4,4,5,0,0,0,0,6,0
"184","MANUEL VALDEZ",15,3,0,6,6,7,5,0,0,1,5,0
"185","MARCO ANTONIO DUARTE",36,18,6,13,12,11,7,0,1,0,0,0
"186","MARCO CAMARENA",18,4,1,5,5,1,3,0,0,0,0,0
