"","Year","Name","Team","POS","GP","GS","IP","ERA","W","L","SV","SVO","HLD","K","BB","IBB","BF","H","HR","ER","HBP","GIDP","WP"
"167","2019","Arturo Lopez","MEX","P",22,22,"116.2","5.48",6,4,0,0,0,71,34,1,512,147,24,71,3,15,1
"168","2019","Joseph Camacho","PUE","P",43,0,"36.0","5.50",1,2,0,5,7,23,19,3,169,46,7,22,2,3,2
"169","2019","Edgar Gonzalez","MTY","P",24,23,"112.1","5.53",12,5,0,0,0,71,28,0,510,146,15,69,11,9,5
"170","2019","Frank Garces","CAM","P",23,23,"131.2","5.54",6,11,0,0,0,99,46,2,582,162,23,81,4,18,5
"171","2019","Dusten Knight","MEX","P",23,1,"24.1","5.55",2,4,0,2,7,21,10,0,107,28,6,15,0,2,0
"172","2019","Edwin Salas","LAR","P",30,1,"48.2","5.55",3,1,0,2,0,27,19,2,218,58,12,30,1,5,2
"173","2019","Fabian Cota","MEX","P",48,0,"32.1","5.57",3,0,0,2,4,27,13,0,154,47,0,20,3,3,5
"174","2019","Matt Gage","MEX","P",25,24,"118.0","5.57",10,4,0,0,0,106,39,0,523,142,14,73,6,8,5
"175","2019","André Rienzo","MVA","P",6,6,"29.0","5.59",3,2,0,0,0,27,15,0,133,34,5,18,0,2,5
"176","2019","Ryan Luna","PUE","P",44,0,"45.0","5.60",3,1,0,1,4,26,22,2,213,57,3,28,5,7,5
"177","2019","Brandon Quintero","AGS","P",47,0,"45.0","5.60",1,0,0,3,7,32,19,4,201,49,6,28,2,4,4
"178","2019","Marco Quevedo","TIG","P",19,10,"57.2","5.62",3,4,0,0,0,41,30,1,266,72,7,36,1,5,4
"179","2019","Dallas Martinez","MTY","P",11,7,"35.0","5.66",0,3,0,0,0,14,13,0,155,43,5,22,1,6,5
"180","2019","Jose Manuel Lopez","PUE","P",55,0,"41.1","5.66",3,4,1,3,8,39,27,1,192,45,10,26,1,5,7
"181","2019","Refugio Marin","TAB","P",18,0,"25.1","5.68",1,0,0,0,0,8,11,0,114,30,3,16,2,3,2
"182","2019","Diego Moreno","DUR","P",5,5,"25.1","5.68",3,0,0,0,0,17,8,0,121,38,3,16,2,5,1
"183","2019","Jose Pina","SLT","P",57,0,"63.1","5.68",4,4,0,2,11,49,22,3,295,78,13,40,10,5,4
"184","2019","Daniel Flores","MVA","P",19,1,"22.0","5.73",0,0,0,0,0,23,24,1,106,24,1,14,0,6,3
"185","2019","Geno Encina","MVA","P",35,11,"80.0","5.74",8,5,0,0,3,44,25,0,374,115,11,51,6,15,4
"186","2019","Marcos Machado","TAB","P",22,14,"69.0","5.74",1,7,0,0,1,43,32,2,322,87,5,44,2,4,3
"187","2019","Spencer Jones","MVA","P",9,9,"40.2","5.75",3,1,0,0,0,32,16,0,189,52,8,26,0,2,0
"188","2019","Michael Mariot","LAR","P",8,7,"32.2","5.79",5,2,0,0,0,34,16,0,151,37,5,21,3,3,2
"189","2019","Enrique Oquendo","TAB","P",32,2,"37.1","5.79",4,3,1,1,6,45,21,1,162,36,8,24,2,3,4
"190","2019","Takaaki Yokoyama","MEX","P",6,0,"4.2","5.79",0,0,0,1,2,3,3,0,21,5,1,3,0,1,1
"191","2019","José Domínguez","LAG","P",42,0,"40.1","5.80",2,2,13,18,1,36,22,1,194,51,4,26,5,6,6
"192","2019","Edgar Torres","DUR","P",55,1,"46.1","5.83",0,2,0,1,11,36,18,1,214,62,5,30,4,7,3
"193","2019","Romario Gil","MVA","P",18,10,"63.0","5.86",5,1,0,0,0,59,22,1,281,70,8,41,4,7,5
"194","2019","Alejandro Chavarria","LAG","P",52,0,"35.1","5.86",2,1,1,3,5,17,31,1,177,42,3,23,5,6,9
"195","2019","Daniel Diaz","AGS","P",53,0,"44.1","5.89",0,0,0,0,6,36,26,5,208,53,7,29,2,6,6
