"","Season","Name","Team","POS","GP","AB","PA","H","RBI","SB","2B","3B","HR","R","TB","HBP","K","BB","IBB","AVG","OBP","SLG","OPS"
"27","2024","Daniel Cornejo","AGS","RF",53,150,165,53,29,2,11,2,2,27,74,1,36,10,0,".353",".390",".493",".883"
"28","2024","Yeison Asencio","SLT","LF",19,71,74,25,16,0,5,0,1,5,33,0,9,3,1,".352",".378",".465",".843"
"29","2024","Rusney Castillo","QRO","RF",18,74,75,26,19,1,8,1,3,14,45,0,8,1,0,".351",".360",".608",".968"
"30","2024","Sam Travis","DUR","1B",85,334,385,117,47,4,22,3,4,69,157,6,45,42,1,".350",".430",".470",".900"
"31","2024","José A. Martínez","YUC","LF",12,40,47,14,4,0,3,0,1,7,20,1,6,5,0,".350",".426",".500",".926"
"32","2024","Tito Polo","VER","LF",39,126,145,44,20,7,11,1,3,20,66,7,32,8,0,".349",".415",".524",".939"
"33","2024","Yosmany Guerra","QRO","2B",70,241,288,84,41,1,16,2,4,42,116,3,28,42,2,".349",".451",".481",".932"
"34","2024","Juan Centeno","SLT","C",44,121,147,42,22,0,8,0,1,12,53,4,24,17,0,".347",".438",".438",".876"
"35","2024","Balbino Fuenmayor","MVA","DH",66,240,262,83,54,0,15,0,13,35,137,4,58,10,1,".346",".370",".571",".941"
"36","2024","Angel Reyes","AGS","CF",88,327,371,113,70,13,22,0,19,67,192,1,63,39,2,".346",".412",".587",".999"
"37","2024","Aldrem Corredor","MVA","1B",88,329,379,113,69,1,22,0,14,49,177,0,54,48,4,".343",".425",".538",".963"
"38","2024","Franklin Barreto","MEX","CF",76,321,372,110,63,8,19,4,16,77,185,4,99,45,0,".343",".430",".576","1.006"
"39","2024","Jesus Loya","CHI","LF",37,108,118,37,14,0,4,0,2,12,47,0,14,7,1,".343",".376",".435",".811"
"40","2024","Victor Marquez","DUR","SS",17,38,47,13,2,2,0,0,0,5,13,0,8,6,0,".342",".432",".342",".774"
"41","2024","Andretty Cordero","AGS","1B",90,363,402,124,78,6,29,0,14,66,195,2,52,29,1,".342",".389",".537",".926"
"42","2024","Nicholas Torres","LAG","RF",85,320,373,109,66,10,22,0,15,65,176,6,85,43,0,".341",".424",".550",".974"
"43","2024","Carlos Sepulveda","MEX","2B",58,153,184,52,31,6,9,1,1,30,66,3,20,25,2,".340",".442",".431",".873"
"44","2024","Danry Vasquez","LAR","RF",87,330,374,112,57,7,27,9,6,53,175,3,57,38,0,".339",".410",".530",".940"
"45","2024","Roel Santos","TAB","CF",55,214,248,72,27,11,10,5,3,42,101,3,33,26,0,".336",".412",".472",".884"
"46","2024","Miguel Guzman","PUE","1B",87,339,364,114,38,5,15,4,8,60,161,2,32,15,0,".336",".364",".475",".839"
"47","2024","Albert Lara","LAG","SS",52,143,158,48,19,2,8,2,1,23,63,1,22,9,0,".336",".377",".441",".818"
"48","2024","Alen Hanson","QRO","2B",80,328,359,110,49,8,23,0,16,71,181,3,52,20,1,".335",".375",".552",".927"
"49","2024","Braxton Davidson","SLT","X",2,3,3,1,1,0,0,0,0,0,1,0,2,0,0,".333",".333",".333",".666"
"50","2024","Xavier Fernández","MEX","C",7,18,22,6,5,0,1,0,0,4,7,0,3,3,0,".333",".409",".389",".798"
"51","2024","Amilcar Gomez","AGS","RF",33,18,21,6,0,0,0,0,0,7,6,1,5,2,0,".333",".429",".333",".762"
"52","2024","Kelvin Gutiérrez","QRO","SS",87,321,370,107,70,6,19,0,11,62,159,7,54,37,1,".333",".408",".495",".903"
"53","2024","Diago Machado","TIJ","RF",3,3,3,1,0,0,0,0,0,0,1,0,1,0,0,".333",".333",".333",".666"
